,property_type,seller,status,rate per sqft,price,area,location,RERA
0,3 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 65.8 L,1371 ,Hosa Road,approval by RERA
1,2 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.11 Cr,1711 ,Hennur,not approval by RERA
2,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,518 / sq ft", 96.01 L,1740 ,Krishnarajapura,approval by RERA
3,3 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 1.25 Cr,2095 ,Sarjapur,approval by RERA
4,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,075 / sq ft", 81.4 L,1340 ,RR Nagar,not approval by RERA
5,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,228 / sq ft", 61.38 L,1174 ,Krishnarajapura,approval by RERA
6,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.1 Cr,1846 ,Banashankari,approval by RERA
7,1 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 40.1 L,575 ,Bannerghatta,not approval by RERA
8,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,950 / sq ft", 1.07 Cr,1800 ,Uttarahalli,not approval by RERA
9,1 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"7,176 / sq ft", 45.57 L,635 ,Yelahanka,approval by RERA
10,3 BHK Apartment in Provident Park Square,Provident Housing Limited,Under Construction,"6,757 / sq ft", 88.39 L,1308 ,Talaghattapura,approval by RERA
11,3 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 53.92 L,1254 ,Sarjapur,approval by RERA
12,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 84.96 L,1440 ,Thanisandra,not approval by RERA
13,1 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"7,680 / sq ft", 48 L,625 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
14,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,818 / sq ft", 1.23 Cr,1812 ,Brookefield,approval by RERA
15,2 BHK Apartment in Eswar Vanamali,Eswar Constructions,Under Construction,"5,000 / sq ft", 50 L,1000 ,Narayanapura on Hennur Main Road,approval by RERA
16,4 BHK Villa in Puravankara Sparkling Springs The Sound Of Water,Puravankara Limited,Under Construction,"11,666 / sq ft", 3.49 Cr,3000 ,Bannerghatta,approval by RERA
17,3 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,007 / sq ft", 80.61 L,1610 ,Singasandra,approval by RERA
18,2 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,269 / sq ft", 71.72 L,1144 ,Budigere Cross,approval by RERA
19,2 BHK Apartment in Shravanthi Prima,SHRAVANTHI SHELTERS,Under Construction,"6,993 / sq ft", 70 L,1001 ,Bilekahalli,approval by RERA
20,3 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,273 / sq ft", 1.26 Cr,1740 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
21,2 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,167 / sq ft", 1.01 Cr,1112 ,Yeshwantpur,not approval by RERA
22,3 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,305 / sq ft", 1.01 Cr,1604 ,Krishnarajapura,approval by RERA
23,3 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,264 / sq ft", 1.22 Cr,1680 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
24,2 BHK Apartment in Pariwar Pragathi,Pariwar Housing Corporation,Ready to move,"6,000 / sq ft", 72.9 L,1215 ,Gottigere,not approval by RERA
25,3 BHK Apartment in GR Samskruthi,GR Constructions,Under Construction,"3,756 / sq ft", 52.96 L,1410 ,Attibele,approval by RERA
26,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,500 / sq ft", 1.06 Cr,1117 ,Adugodi,not approval by RERA
27,1 BHK Apartment in Sumadhura Aspire Aurum,Sumadhura Homes LLP,Under Construction,"7,582 / sq ft", 25.25 L,333 ,Kannamangala,approval by RERA
28,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,193 / sq ft", 93.21 L,1505 ,Varthur,approval by RERA
29,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,915 / sq ft", 58 L,1180 ,Narayanapura on Hennur Main Road,approval by RERA
30,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,092 / sq ft", 55 L,1080 ,Sarjapur,approval by RERA
31,3 BHK Apartment in Modern 302 West,Modern Spaaces,Under Construction,"4,000 / sq ft", 58.76 L,1469 ,Sarjapur,approval by RERA
32,4 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,375 / sq ft", 1.72 Cr,3200 ,Talaghattapura,not approval by RERA
33,2 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,674 / sq ft", 45.99 L,984 ,Devanahalli,approval by RERA
34,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,773 / sq ft", 79.58 L,1175 ,Krishnarajapura,approval by RERA
35,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 62.2 L,1185 ,Krishnarajapura,approval by RERA
36,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,957 / sq ft", 52.9 L,888 ,Bommanahalli,approval by RERA
37,2 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,904 / sq ft", 77.34 L,1310 ,Gunjur,approval by RERA
38,3 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 80.6 L,1240 ,JP Nagar Phase 1,approval by RERA
39,4 BHK Apartment in Keya Life By The Lake,Keya Homes,Ready to move,"9,923 / sq ft", 3.85 Cr,3880 ,Jakkur,not approval by RERA
40,4 BHK Apartment in MC Fortune,MC Builders,Under Construction,"5,850 / sq ft", 2.1 Cr,3598 ,Whitefield Hope Farm Junction,approval by RERA
41,2 BHK Apartment in Maarq Tranquil,Maarq Spaces Pvt Ltd,Under Construction,"5,100 / sq ft", 66.86 L,1311 ,Yelahanka,approval by RERA
42,3 BHK Apartment in Anand Alpine,Anand Group Builders And Developers,Under Construction,"5,366 / sq ft", 94.93 L,1769 ,Anjanapura,approval by RERA
43,2 BHK Apartment in Nikhar Aventino,Nikhar Estates,Under Construction,"6,816 / sq ft", 73.61 L,1080 ,Bellandur,approval by RERA
44,2 BHK Apartment in Vaastu Tranquil,Vaastu Structures,Under Construction,"4,592 / sq ft", 39.95 L,870 ,Kengeri,approval by RERA
45,2 BHK Apartment in Shellton Arvind Oasis,Arvind SmartSpaces Ltd,Ready to move,"5,998 / sq ft", 77.8 L,1297 ,Dasarahalli on Tumkur Road,not approval by RERA
46,3 BHK Apartment in Alpine Vistula,Alpine Builders,Ready to move,"5,000 / sq ft", 81.8 L,1636 ,Krishnarajapura,not approval by RERA
47,2 BHK Apartment in Prestige Royale Gardens,Prestige Estates Projects Ltd,Ready to move,"5,853 / sq ft", 79.72 L,1362 ,Yelahanka,not approval by RERA
48,2 BHK Apartment in Global Celesta,Global Edifice Builders and Developers,Under Construction,"3,507 / sq ft", 35.67 L,1017 ,Chandapura,approval by RERA
49,2 BHK Apartment in Nava Nava Vaibhava A Block,Nava Jyothi Construction,Under Construction,"4,400 / sq ft", 53.24 L,1210 ,Horamavu,approval by RERA
50,3 BHK Apartment in Shellton Pashmina Waterfront,CONCORDE HOUSING CORPORATION PVT LTD,Ready to move,"6,301 / sq ft", 1.22 Cr,1936 ,Krishnarajapura,not approval by RERA
51,2 BHK Apartment in ASN Gardenia,ASN Shelters Pvt Ltd,Under Construction,"4,400 / sq ft", 54.78 L,1245 ,Horamavu,approval by RERA
52,5 BHK Villa in Radiance Blossom,Radiance Realty Developers India Ltd,Under Construction,"6,935 / sq ft", 1.89 Cr,2738 ,Budigere Cross,approval by RERA
53,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,086 / sq ft", 91.9 L,1510 ,Panathur,not approval by RERA
54,2 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 52.25 L,1375 ,Vidyaranyapura,approval by RERA
55,3 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 63.65 L,1340 ,Chandapura,approval by RERA
56,3 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,753 / sq ft", 1.04 Cr,1815 ,Uttarahalli,not approval by RERA
57,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.25 Cr,2275 ,Sarjapur,approval by RERA
58,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,244 / sq ft", 1.16 Cr,1605 ,Jalahalli,approval by RERA
59,2 BHK Apartment in Epitome Elan,Epitome Builders Pvt Ltd,Under Construction,"6,485 / sq ft", 82.68 L,1275 ,JP Nagar Phase 9,approval by RERA
60,3 BHK Villa in Unique Feronia,Unique Construction,Ready to move,"4,298 / sq ft", 89.36 L,2079 ,Hoskote,not approval by RERA
61,2 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"7,058 / sq ft", 80.89 L,1146 ,Sarjapur,approval by RERA
62,2 BHK Apartment in Ramky One Karnival,Ramky Estates Farms Ltd,Under Construction,"4,900 / sq ft", 54.39 L,1110 ,Electronic City Phase 1,approval by RERA
63,1 BHK Apartment in New Dimensions Fifth Element,Newdimensions Developers pvt ltd,Under Construction,"4,500 / sq ft", 25.87 L,575 ,Varthur,approval by RERA
64,3 BHK Apartment in Pavani Sarovar Phase 2,Pavani Group,Ready to move,"6,426 / sq ft", 90.28 L,1405 ,Whitefield Hope Farm Junction,not approval by RERA
65,3 BHK Apartment in SKAV Ohana,Ahuja SKAV AG,Under Construction,"6,600 / sq ft", 1.05 Cr,1605 ,Krishnarajapura,approval by RERA
66,3 BHK Villa in Peninsula Park Elite,Peninsula Infra Development Pvt Ltd,Under Construction,"5,900 / sq ft", 1.18 Cr,2000 ,Sarjapur,approval by RERA
67,1 BHK Apartment in GRC Subhiksha,GRC Infra Pvt ltd,Ready to move,"6,457 / sq ft", 38.74 L,600 ,Kasavanahalli,not approval by RERA
68,2 BHK Apartment in Sumadhura Eden Garden,Sumadhura Infracon Pvt Ltd,Ready to move,"10,153 / sq ft", 99.7 L,982 ,Kannamangala,not approval by RERA
69,3 BHK Apartment in United Highlands,United Infrastructures,Under Construction,"5,499 / sq ft", 66.53 L,1210 ,Bellandur,approval by RERA
70,3 BHK Apartment in Amsha Bhuvi By Amsha,Amsha Ventures,Ready to move,"8,128 / sq ft", 1.32 Cr,1624 ,Bellandur,not approval by RERA
71,3 BHK Apartment in Abhee Siliconshine,Abhee Developers,Under Construction,"6,055 / sq ft", 91.14 L,1505 ,Sarjapur Road Post Railway Crossing,approval by RERA
72,2 BHK Apartment in 5 Elements Sai Nandana Grandeur,5 Elements Realty,Under Construction,"5,006 / sq ft", 58.82 L,1175 ,Begur,approval by RERA
73,3 BHK Apartment in Salarpuria Misty Charm,Salarpuria Sattva,Under Construction,"6,933 / sq ft", 88.81 L,1281 ,Talaghattapura,approval by RERA
74,2 BHK Apartment in Nava Pushkara,Swamaan Developers,Under Construction,"4,199 / sq ft", 52.23 L,1244 ,Kalkere,approval by RERA
75,2 BHK Villa in Brick And Land Garden And Skies,Reputed Builder,Under Construction,"4,937 / sq ft", 39.5 L,800 ,Anekal City,approval by RERA
76,2 BHK Apartment in Shirdi Sai Concord Heights,Nishchith Homes,Ready to move,"4,127 / sq ft", 48.66 L,1179 ,Kannur on Thanisandra Main Road,not approval by RERA
77,4 BHK Apartment in Sahasra Mount Oak,Sahasra Builders Developers,Under Construction,"6,956 / sq ft", 1.16 Cr,1682 ,Kalyan Nagar,approval by RERA
78,3 BHK Apartment in Mahaadeva My Fortune,Mahaadeva Constructions,Ready to move,"3,800 / sq ft", 50.92 L,1340 ,Electronic City Phase 1,not approval by RERA
79,3 BHK Apartment in Sree Adithya Elegant,Sree Adithya Developers,Under Construction,"4,550 / sq ft", 68.56 L,1507 ,Kannamangala,approval by RERA
80,3 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 64.56 L,1345 ,Hosa Road,approval by RERA
81,2 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.08 Cr,1676 ,Hennur,not approval by RERA
82,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,504 / sq ft", 94 L,1708 ,Krishnarajapura,approval by RERA
83,4 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 1.87 Cr,3117 ,Sarjapur,approval by RERA
84,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,080 / sq ft", 80.26 L,1320 ,RR Nagar,not approval by RERA
85,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,229 / sq ft", 61.33 L,1173 ,Krishnarajapura,approval by RERA
86,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.02 Cr,1713 ,Banashankari,approval by RERA
87,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 91.02 L,1305 ,Bannerghatta,not approval by RERA
88,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,950 / sq ft", 1.07 Cr,1800 ,Uttarahalli,not approval by RERA
89,1 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"7,120 / sq ft", 45.57 L,640 ,Yelahanka,approval by RERA
90,2 BHK Apartment in Provident Park Square,Provident Housing Limited,Under Construction,"7,292 / sq ft", 49.59 L,680 ,Talaghattapura,approval by RERA
91,2 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 35.47 L,825 ,Sarjapur,approval by RERA
92,2 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 80.94 L,1372 ,Thanisandra,not approval by RERA
93,2 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"7,368 / sq ft", 70 L,950 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
94,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,256 / sq ft", 53.62 L,739 ,Brookefield,approval by RERA
95,2 BHK Apartment in Eswar Vanamali,Eswar Constructions,Under Construction,"5,000 / sq ft", 52.5 L,1050 ,Narayanapura on Hennur Main Road,approval by RERA
96,3 BHK Villa in Puravankara Sparkling Springs The Sound Of Water,Puravankara Limited,Under Construction,"19,444 / sq ft", 3.49 Cr,1800 ,Bannerghatta,approval by RERA
97,2 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,080 / sq ft", 61.21 L,1205 ,Singasandra,approval by RERA
98,2 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,234 / sq ft", 77.3 L,1240 ,Budigere Cross,approval by RERA
99,3 BHK Apartment in Shravanthi Prima,SHRAVANTHI SHELTERS,Under Construction,"6,891 / sq ft", 87.94 L,1276 ,Bilekahalli,approval by RERA
100,2 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 51.5 L,1073 ,Hosa Road,approval by RERA
101,2 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 53.61 L,1117 ,Hosa Road,approval by RERA
102,3 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 66.72 L,1390 ,Hosa Road,approval by RERA
103,2 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 55.68 L,1160 ,Hosa Road,approval by RERA
104,2 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 52.56 L,1095 ,Hosa Road,approval by RERA
105,2 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 54.48 L,1135 ,Hosa Road,approval by RERA
106,3 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 67.2 L,1400 ,Hosa Road,approval by RERA
107,2 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.11 Cr,1722 ,Hennur,not approval by RERA
108,2 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.11 Cr,1720 ,Hennur,not approval by RERA
109,3 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.31 Cr,2023 ,Hennur,not approval by RERA
110,3 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.27 Cr,1958 ,Hennur,not approval by RERA
111,3 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.43 Cr,2208 ,Hennur,not approval by RERA
112,4 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,700 / sq ft", 1.25 Cr,2193 ,Krishnarajapura,approval by RERA
113,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,511 / sq ft", 89 L,1615 ,Krishnarajapura,approval by RERA
114,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,518 / sq ft", 96.01 L,1740 ,Krishnarajapura,approval by RERA
115,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,518 / sq ft", 96.01 L,1740 ,Krishnarajapura,approval by RERA
116,2 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,814 / sq ft", 81.04 L,1394 ,Krishnarajapura,approval by RERA
117,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,504 / sq ft", 94 L,1708 ,Krishnarajapura,approval by RERA
118,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,504 / sq ft", 94 L,1708 ,Krishnarajapura,approval by RERA
119,4 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,700 / sq ft", 1.25 Cr,2193 ,Krishnarajapura,approval by RERA
120,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,518 / sq ft", 96.01 L,1740 ,Krishnarajapura,approval by RERA
121,4 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,700 / sq ft", 1.25 Cr,2193 ,Krishnarajapura,approval by RERA
122,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,690 / sq ft", 1.06 Cr,1863 ,Krishnarajapura,approval by RERA
123,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,504 / sq ft", 94 L,1708 ,Krishnarajapura,approval by RERA
124,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,511 / sq ft", 89 L,1615 ,Krishnarajapura,approval by RERA
125,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,511 / sq ft", 89 L,1615 ,Krishnarajapura,approval by RERA
126,4 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,700 / sq ft", 1.25 Cr,2193 ,Krishnarajapura,approval by RERA
127,2 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,814 / sq ft", 81.04 L,1394 ,Krishnarajapura,approval by RERA
128,2 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,814 / sq ft", 81.04 L,1394 ,Krishnarajapura,approval by RERA
129,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,511 / sq ft", 89 L,1615 ,Krishnarajapura,approval by RERA
130,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,690 / sq ft", 1.06 Cr,1863 ,Krishnarajapura,approval by RERA
131,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,690 / sq ft", 1.06 Cr,1863 ,Krishnarajapura,approval by RERA
132,2 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,814 / sq ft", 81.04 L,1394 ,Krishnarajapura,approval by RERA
133,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,529 / sq ft", 92 L,1664 ,Krishnarajapura,approval by RERA
134,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,529 / sq ft", 92 L,1664 ,Krishnarajapura,approval by RERA
135,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,690 / sq ft", 1.06 Cr,1863 ,Krishnarajapura,approval by RERA
136,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,529 / sq ft", 92 L,1664 ,Krishnarajapura,approval by RERA
137,4 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 2.21 Cr,3688 ,Sarjapur,approval by RERA
138,3 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 1.27 Cr,2126 ,Sarjapur,approval by RERA
139,4 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 2.24 Cr,3735 ,Sarjapur,approval by RERA
140,4 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 1.96 Cr,3275 ,Sarjapur,approval by RERA
141,4 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 1.68 Cr,2810 ,Sarjapur,approval by RERA
142,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,072 / sq ft", 81.97 L,1350 ,RR Nagar,not approval by RERA
143,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,064 / sq ft", 83.69 L,1380 ,RR Nagar,not approval by RERA
144,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,069 / sq ft", 82.55 L,1360 ,RR Nagar,not approval by RERA
145,3 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,002 / sq ft", 1.01 Cr,1685 ,RR Nagar,not approval by RERA
146,3 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,002 / sq ft", 1.01 Cr,1690 ,RR Nagar,not approval by RERA
147,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,062 / sq ft", 84.26 L,1390 ,RR Nagar,not approval by RERA
148,3 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,001 / sq ft", 1.01 Cr,1695 ,RR Nagar,not approval by RERA
149,3 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,007 / sq ft", 99.71 L,1660 ,RR Nagar,not approval by RERA
150,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,060 / sq ft", 84.84 L,1400 ,RR Nagar,not approval by RERA
151,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,085 / sq ft", 79.11 L,1300 ,RR Nagar,not approval by RERA
152,3 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,060 / sq ft", 85.36 L,1687 ,Krishnarajapura,approval by RERA
153,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,173 / sq ft", 67.41 L,1303 ,Krishnarajapura,approval by RERA
154,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,126 / sq ft", 73.82 L,1440 ,Krishnarajapura,approval by RERA
155,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,207 / sq ft", 63.53 L,1220 ,Krishnarajapura,approval by RERA
156,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,215 / sq ft", 62.69 L,1202 ,Krishnarajapura,approval by RERA
157,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,144 / sq ft", 71.15 L,1383 ,Krishnarajapura,approval by RERA
158,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,104 / sq ft", 77.18 L,1512 ,Krishnarajapura,approval by RERA
159,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,202 / sq ft", 64.09 L,1232 ,Krishnarajapura,approval by RERA
160,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,144 / sq ft", 71.15 L,1383 ,Krishnarajapura,approval by RERA
161,3 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,060 / sq ft", 85.36 L,1687 ,Krishnarajapura,approval by RERA
162,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,104 / sq ft", 77.18 L,1512 ,Krishnarajapura,approval by RERA
163,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,202 / sq ft", 64.09 L,1232 ,Krishnarajapura,approval by RERA
164,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,215 / sq ft", 62.69 L,1202 ,Krishnarajapura,approval by RERA
165,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.11 Cr,1851 ,Banashankari,approval by RERA
166,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.1 Cr,1846 ,Banashankari,approval by RERA
167,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.09 Cr,1819 ,Banashankari,approval by RERA
168,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.02 Cr,1713 ,Banashankari,approval by RERA
169,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.11 Cr,1851 ,Banashankari,approval by RERA
170,2 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 71.7 L,1195 ,Banashankari,approval by RERA
171,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.09 Cr,1819 ,Banashankari,approval by RERA
172,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.13 Cr,1887 ,Banashankari,approval by RERA
173,2 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 71.7 L,1195 ,Banashankari,approval by RERA
174,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.13 Cr,1887 ,Banashankari,approval by RERA
